"id","name","batch","migration_time"
1,"1503248427885_user",1,"2018-03-31 04:47:35.343773+00"
2,"1503248427886_token",1,"2018-03-31 04:47:35.364716+00"
3,"1521931164002_tag_schema",1,"2018-03-31 04:47:35.381168+00"
4,"1521992274087_post_schema",1,"2018-03-31 04:47:35.401687+00"
5,"1522144722930_add_replies_to_posts_schema",1,"2018-03-31 04:47:35.410232+00"
6,"1522266324865_add_last_reply_at_to_posts_schema",1,"2018-03-31 04:47:35.415093+00"
7,"1522664227717_add_answer_id_to_posts_schema",2,"2018-03-31 10:27:18.090933+00"
